Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 23 1 0 0 0 0.0000
0 2 2 2 0 0 0 0.0000
0 3 17 1 0 0 0 0.0000
0 4 18 1 0 0 0 0.0000
0 5 14 1 0 0 0 0.0000
0 6 16 2 0 0 0 0.0000
0 7 7 2 0 0 0 0.0000
0 8 22 1 0 0 0 0.0000
0 9 19 1 0 0 0 0.0000
0 10 3 2 0 0 0 0.0000
0 11 10 1 0 0 0 0.0000
0 12 21 2 0 0 0 0.0000
1 1 23 2 15 1 1 5.6852
1 2 17 2 24 1 1 1.8985
1 3 21 1 5 2 1 4.3197
1 4 2 1 13 1 0 3.2522
1 5 3 1 20 2 1 2.8864
1 6 19 2 11 1 1 5.1820
1 7 16 1 12 1 1 7.3525
1 8 7 1 9 1 0 2.9856
1 9 22 2 6 2 1 2.2341
1 10 14 2 4 1 0 6.8925
1 11 18 2 8 1 1 4.5910
1 12 10 2 1 1 1 4.9001
