Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 8 1 0 0 0 0.0000
0 2 2 2 0 0 0 0.0000
0 3 1 1 0 0 0 0.0000
0 4 14 1 0 0 0 0.0000
0 5 22 2 0 0 0 0.0000
0 6 7 1 0 0 0 0.0000
0 7 19 2 0 0 0 0.0000
0 8 18 2 0 0 0 0.0000
0 9 16 1 0 0 0 0.0000
0 10 13 1 0 0 0 0.0000
0 11 15 2 0 0 0 0.0000
0 12 6 2 0 0 0 0.0000
1 1 16 2 23 2 1 4.6777
1 2 14 2 24 1 1 2.4932
1 3 18 1 21 1 0 4.5278
1 4 6 1 9 1 0 2.8326
1 5 22 1 3 2 0 5.3934
1 6 1 2 12 1 0 3.9164
1 7 7 2 20 1 1 3.9541
1 8 2 1 17 1 0 4.4168
1 9 13 2 4 1 0 3.2939
1 10 15 1 11 2 1 5.8520
1 11 8 2 10 1 0 5.5012
1 12 19 1 5 2 0 4.9287
