Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 21 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 15 1 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 17 2 0 0 0 0.0000
0 6 10 2 0 0 0 0.0000
0 7 5 2 0 0 0 0.0000
0 8 14 2 0 0 0 0.0000
0 9 6 2 0 0 0 0.0000
0 10 9 1 0 0 0 0.0000
0 11 24 2 0 0 0 0.0000
0 12 13 1 0 0 0 0.0000
1 1 24 1 1 1 1 3.9527
1 2 5 1 8 2 1 3.2197
1 3 14 1 7 1 1 2.5236
1 4 13 2 11 1 1 6.6011
1 5 6 1 19 1 1 3.2350
1 6 17 1 2 1 1 2.9482
1 7 4 1 20 2 1 4.3510
1 8 15 2 3 1 1 2.1117
1 9 21 2 18 2 1 2.2503
1 10 10 1 12 1 1 4.0844
1 11 9 2 22 1 0 1.6932
1 12 23 1 16 2 1 2.0952
