Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 20 1 0 0 0 0.0000
0 3 14 1 0 0 0 0.0000
0 4 4 1 0 0 0 0.0000
0 5 12 2 0 0 0 0.0000
0 6 8 2 0 0 0 0.0000
0 7 11 2 0 0 0 0.0000
0 8 5 2 0 0 0 0.0000
0 9 6 1 0 0 0 0.0000
0 10 17 2 0 0 0 0.0000
0 11 16 1 0 0 0 0.0000
0 12 7 2 0 0 0 0.0000
1 1 12 1 15 2 1 5.1585
1 2 20 2 21 1 1 2.6513
1 3 7 1 1 2 1 4.0480
1 4 11 1 19 2 1 1.5042
1 5 6 2 24 1 0 1.9129
1 6 14 2 22 2 1 1.4822
1 7 4 2 10 2 1 2.4654
1 8 8 1 18 1 0 3.8457
1 9 16 2 23 2 1 1.7729
1 10 17 1 2 1 1 2.0734
1 11 13 2 3 2 0 2.9065
1 12 5 1 9 2 1 3.6945
