Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 9 1 0 0 0 0.0000
0 3 21 2 0 0 0 0.0000
0 4 11 1 0 0 0 0.0000
0 5 7 1 0 0 0 0.0000
0 6 20 1 0 0 0 0.0000
0 7 22 1 0 0 0 0.0000
0 8 3 1 0 0 0 0.0000
0 9 23 1 0 0 0 0.0000
0 10 17 2 0 0 0 0.0000
0 11 2 2 0 0 0 0.0000
0 12 19 2 0 0 0 0.0000
1 1 7 2 12 1 0 1.9270
1 2 2 1 5 1 1 2.2914
1 3 11 2 14 2 1 2.1052
1 4 22 2 4 2 1 1.8162
1 5 13 2 6 1 1 3.6481
1 6 19 1 24 2 1 4.5244
1 7 21 1 8 1 1 2.9194
1 8 3 2 1 2 1 4.6474
1 9 20 2 10 1 1 5.3085
1 10 9 2 16 1 1 9.9036
1 11 17 1 18 1 1 2.1409
1 12 23 2 15 1 1 2.9210
