Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 20 2 0 0 0 0.0000
0 2 10 1 0 0 0 0.0000
0 3 15 2 0 0 0 0.0000
0 4 7 2 0 0 0 0.0000
0 5 6 2 0 0 0 0.0000
0 6 11 1 0 0 0 0.0000
0 7 2 2 0 0 0 0.0000
0 8 17 1 0 0 0 0.0000
0 9 18 1 0 0 0 0.0000
0 10 8 2 0 0 0 0.0000
0 11 16 1 0 0 0 0.0000
0 12 24 2 0 0 0 0.0000
1 1 20 1 4 1 1 3.0209
1 2 16 2 3 2 1 2.4088
1 3 24 1 12 2 1 1.5942
1 4 15 1 19 1 1 3.8843
1 5 11 2 13 2 0 4.3598
1 6 7 1 1 1 1 1.1356
1 7 17 2 5 2 1 1.9624
1 8 8 1 23 2 1 1.5178
1 9 18 2 9 1 1 1.4989
1 10 10 2 14 1 1 2.4950
1 11 6 1 21 1 0 5.7974
1 12 2 1 22 1 1 3.0157
