Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 24 2 0 0 0 0.0000
0 2 5 1 0 0 0 0.0000
0 3 22 1 0 0 0 0.0000
0 4 10 1 0 0 0 0.0000
0 5 15 1 0 0 0 0.0000
0 6 16 2 0 0 0 0.0000
0 7 12 2 0 0 0 0.0000
0 8 13 2 0 0 0 0.0000
0 9 21 1 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 9 1 0 0 0 0.0000
0 12 8 1 0 0 0 0.0000
1 1 10 2 11 1 1 2.8868
1 2 21 2 19 1 1 2.0648
1 3 5 2 4 1 1 2.8814
1 4 20 1 7 1 1 1.5703
1 5 12 1 14 2 1 3.2064
1 6 13 1 1 2 1 3.3389
1 7 8 2 17 2 1 2.9868
1 8 9 2 18 2 1 4.1372
1 9 15 2 6 2 0 3.6744
1 10 22 2 23 2 1 7.6679
1 11 24 1 3 2 1 3.8468
1 12 16 1 2 2 1 1.7160
