Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 19 1 0 0 0 0.0000
0 2 5 2 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 22 2 0 0 0 0.0000
0 6 15 1 0 0 0 0.0000
0 7 12 1 0 0 0 0.0000
0 8 1 1 0 0 0 0.0000
0 9 24 1 0 0 0 0.0000
0 10 11 2 0 0 0 0.0000
0 11 23 1 0 0 0 0.0000
0 12 16 2 0 0 0 0.0000
1 1 9 1 20 1 1 1.7338
1 2 22 1 10 1 1 1.9096
1 3 5 1 17 1 1 1.5417
1 4 11 1 3 2 0 2.1731
1 5 19 2 6 2 1 3.2285
1 6 16 1 14 1 1 1.2979
1 7 15 2 2 2 0 2.3781
1 8 24 2 18 2 1 2.5523
1 9 23 2 13 1 1 1.4405
1 10 12 2 7 2 1 2.0357
1 11 1 2 21 2 1 2.3117
1 12 4 1 8 1 1 2.0175
