Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 8 2 0 0 0 0.0000
0 2 5 2 0 0 0 0.0000
0 3 7 1 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 16 2 0 0 0 0.0000
0 6 6 1 0 0 0 0.0000
0 7 12 1 0 0 0 0.0000
0 8 20 2 0 0 0 0.0000
0 9 1 2 0 0 0 0.0000
0 10 15 1 0 0 0 0.0000
0 11 24 1 0 0 0 0.0000
0 12 10 2 0 0 0 0.0000
1 1 24 2 4 2 1 2.7025
1 2 16 1 11 2 0 5.1808
1 3 12 2 2 1 1 3.6776
1 4 6 2 21 2 1 5.5118
1 5 15 2 14 1 1 5.8888
1 6 1 1 13 1 0 3.9322
1 7 8 1 17 2 0 3.7882
1 8 7 2 19 2 1 3.6327
1 9 3 2 23 1 1 6.5233
1 10 20 1 22 1 0 6.6947
1 11 10 1 18 1 1 2.2472
1 12 5 1 9 1 1 5.8576
