Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 8 1 0 0 0 0.0000
0 2 17 2 0 0 0 0.0000
0 3 13 2 0 0 0 0.0000
0 4 21 1 0 0 0 0.0000
0 5 18 1 0 0 0 0.0000
0 6 3 2 0 0 0 0.0000
0 7 14 1 0 0 0 0.0000
0 8 11 1 0 0 0 0.0000
0 9 5 1 0 0 0 0.0000
0 10 20 1 0 0 0 0.0000
0 11 24 1 0 0 0 0.0000
0 12 6 2 0 0 0 0.0000
1 1 5 2 12 1 1 1.7142
1 2 21 2 22 2 1 1.8258
1 3 3 1 1 1 1 1.9637
1 4 13 1 16 1 1 2.5285
1 5 18 2 23 1 1 1.8398
1 6 20 2 4 2 1 4.1784
1 7 6 1 15 1 1 3.0898
1 8 8 2 7 2 1 3.9083
1 9 14 2 10 2 1 1.7606
1 10 17 1 2 1 1 2.1262
1 11 11 2 19 2 1 1.9892
1 12 24 2 9 1 1 2.5773
