Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 4 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 21 2 0 0 0 0.0000
0 4 9 2 0 0 0 0.0000
0 5 6 2 0 0 0 0.0000
0 6 20 1 0 0 0 0.0000
0 7 17 2 0 0 0 0.0000
0 8 1 1 0 0 0 0.0000
0 9 12 1 0 0 0 0.0000
0 10 15 2 0 0 0 0.0000
0 11 24 1 0 0 0 0.0000
0 12 16 2 0 0 0 0.0000
1 1 24 2 18 1 0 5.0309
1 2 15 1 11 2 0 3.2007
1 3 9 1 2 1 1 3.2320
1 4 12 2 3 2 1 4.4132
1 5 6 1 10 1 0 4.5176
1 6 4 2 14 2 1 5.1451
1 7 17 1 8 1 1 3.5024
1 8 23 1 5 2 1 3.9182
1 9 1 2 19 1 1 3.0427
1 10 16 1 22 2 1 2.0702
1 11 21 1 7 2 0 4.2160
1 12 20 2 13 1 1 3.1054
