Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 22 2 0 0 0 0.0000
0 2 9 2 0 0 0 0.0000
0 3 8 2 0 0 0 0.0000
0 4 20 2 0 0 0 0.0000
0 5 24 2 0 0 0 0.0000
0 6 7 2 0 0 0 0.0000
0 7 12 1 0 0 0 0.0000
0 8 4 2 0 0 0 0.0000
0 9 21 2 0 0 0 0.0000
0 10 14 2 0 0 0 0.0000
0 11 2 1 0 0 0 0.0000
0 12 19 2 0 0 0 0.0000
1 1 21 1 1 2 1 1.6063
1 2 8 1 16 1 1 1.6193
1 3 19 1 15 1 1 1.8783
1 4 7 1 23 1 1 1.5121
1 5 22 1 5 2 1 1.3197
1 6 20 1 13 1 1 1.9992
1 7 12 2 10 1 1 2.3731
1 8 24 1 3 2 1 1.5724
1 9 14 1 18 2 1 1.7062
1 10 9 1 11 2 1 2.9304
1 11 4 1 6 2 1 1.8366
1 12 2 2 17 1 1 1.9597
