Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 3 2 0 0 0 0.0000
0 2 15 1 0 0 0 0.0000
0 3 16 1 0 0 0 0.0000
0 4 5 2 0 0 0 0.0000
0 5 18 2 0 0 0 0.0000
0 6 23 2 0 0 0 0.0000
0 7 7 1 0 0 0 0.0000
0 8 9 1 0 0 0 0.0000
0 9 1 2 0 0 0 0.0000
0 10 14 1 0 0 0 0.0000
0 11 2 2 0 0 0 0.0000
0 12 13 1 0 0 0 0.0000
1 1 5 1 20 1 1 2.5606
1 2 1 1 12 1 1 1.5179
1 3 2 1 24 1 1 3.1771
1 4 16 2 6 2 0 4.3971
1 5 13 2 10 2 1 1.7456
1 6 14 2 4 1 1 2.6444
1 7 3 1 19 1 0 2.1412
1 8 15 2 22 1 1 9.0320
1 9 9 2 17 2 1 2.4874
1 10 7 2 11 1 1 2.2545
1 11 18 1 8 2 1 3.5994
1 12 23 1 21 2 1 3.8909
