Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 2 0 0 0 0.0000
0 2 9 1 0 0 0 0.0000
0 3 18 1 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 22 1 0 0 0 0.0000
0 6 16 2 0 0 0 0.0000
0 7 14 1 0 0 0 0.0000
0 8 21 1 0 0 0 0.0000
0 9 8 1 0 0 0 0.0000
0 10 15 2 0 0 0 0.0000
0 11 2 2 0 0 0 0.0000
0 12 17 1 0 0 0 0.0000
1 1 15 1 7 2 1 4.6542
1 2 17 2 24 2 0 5.6899
1 3 9 2 12 2 0 4.5049
1 4 22 2 3 1 0 2.7176
1 5 4 1 13 1 1 5.2016
1 6 5 1 23 2 1 6.2037
1 7 21 2 10 1 1 3.7509
1 8 2 1 1 2 1 3.8489
1 9 18 2 11 1 1 4.0854
1 10 8 2 20 2 1 7.2701
1 11 16 1 19 1 0 3.8639
1 12 14 2 6 2 1 7.0405
