Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 1 0 0 0 0.0000
0 2 6 1 0 0 0 0.0000
0 3 9 1 0 0 0 0.0000
0 4 7 1 0 0 0 0.0000
0 5 3 2 0 0 0 0.0000
0 6 4 2 0 0 0 0.0000
0 7 16 2 0 0 0 0.0000
0 8 14 1 0 0 0 0.0000
0 9 1 2 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 10 2 0 0 0 0.0000
0 12 12 2 0 0 0 0.0000
1 1 16 1 15 1 1 1.9467
1 2 7 2 23 1 1 1.6968
1 3 1 1 24 2 1 3.3538
1 4 9 2 19 1 1 3.3294
1 5 12 1 18 1 1 1.5457
1 6 3 1 21 1 1 1.4555
1 7 6 2 11 1 1 1.7914
1 8 10 1 13 2 0 1.9136
1 9 4 1 2 1 0 2.6180
1 10 5 2 17 2 1 1.6388
1 11 14 2 22 1 1 3.0327
1 12 20 1 8 2 1 2.0625
