Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 21 2 0 0 0 0.0000
0 3 18 1 0 0 0 0.0000
0 4 17 1 0 0 0 0.0000
0 5 10 1 0 0 0 0.0000
0 6 1 1 0 0 0 0.0000
0 7 2 2 0 0 0 0.0000
0 8 8 1 0 0 0 0.0000
0 9 20 1 0 0 0 0.0000
0 10 7 1 0 0 0 0.0000
0 11 15 1 0 0 0 0.0000
0 12 23 2 0 0 0 0.0000
1 1 1 2 24 2 1 2.2719
1 2 17 2 4 2 0 2.3082
1 3 20 2 6 2 1 4.8193
1 4 10 2 3 1 1 4.5482
1 5 23 1 12 1 1 4.9847
1 6 13 2 5 2 1 9.2527
1 7 21 1 22 2 0 8.5828
1 8 15 2 11 2 1 10.5816
1 9 8 2 14 1 1 7.2116
1 10 18 2 9 1 0 5.6185
1 11 7 2 16 1 1 3.2778
1 12 2 1 19 1 1 4.7867
