Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 1 2 0 0 0 0.0000
0 2 6 1 0 0 0 0.0000
0 3 16 2 0 0 0 0.0000
0 4 24 2 0 0 0 0.0000
0 5 17 1 0 0 0 0.0000
0 6 22 2 0 0 0 0.0000
0 7 21 2 0 0 0 0.0000
0 8 5 2 0 0 0 0.0000
0 9 10 1 0 0 0 0.0000
0 10 2 1 0 0 0 0.0000
0 11 13 2 0 0 0 0.0000
0 12 7 2 0 0 0 0.0000
1 1 10 2 20 1 1 2.9019
1 2 1 1 9 2 1 5.9612
1 3 21 1 3 2 0 7.8320
1 4 7 1 4 1 0 5.5337
1 5 24 1 19 1 0 3.4225
1 6 16 1 12 2 1 7.2857
1 7 17 2 8 2 1 2.1783
1 8 2 2 18 2 0 5.5916
1 9 22 1 23 2 0 4.6917
1 10 5 1 14 1 0 2.8574
1 11 13 1 11 1 1 2.8053
1 12 6 2 15 2 1 2.2998
