Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 2 0 0 0 0.0000
0 2 12 2 0 0 0 0.0000
0 3 15 2 0 0 0 0.0000
0 4 13 1 0 0 0 0.0000
0 5 10 2 0 0 0 0.0000
0 6 18 1 0 0 0 0.0000
0 7 2 1 0 0 0 0.0000
0 8 16 1 0 0 0 0.0000
0 9 1 2 0 0 0 0.0000
0 10 3 1 0 0 0 0.0000
0 11 9 1 0 0 0 0.0000
0 12 8 2 0 0 0 0.0000
1 1 2 2 24 1 1 4.2526
1 2 3 2 22 1 1 2.7389
1 3 16 2 11 1 1 4.6427
1 4 18 2 14 1 1 3.0977
1 5 1 1 6 1 1 2.8200
1 6 12 1 21 2 1 6.7047
1 7 15 1 4 1 1 3.8807
1 8 8 1 23 2 1 2.0125
1 9 13 2 19 1 1 2.4399
1 10 10 1 20 1 1 3.1714
1 11 5 1 17 1 1 3.0664
1 12 9 2 7 1 1 5.2135
