Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 22 2 0 0 0 0.0000
0 2 14 1 0 0 0 0.0000
0 3 13 1 0 0 0 0.0000
0 4 24 1 0 0 0 0.0000
0 5 20 2 0 0 0 0.0000
0 6 9 2 0 0 0 0.0000
0 7 5 1 0 0 0 0.0000
0 8 10 1 0 0 0 0.0000
0 9 21 2 0 0 0 0.0000
0 10 1 1 0 0 0 0.0000
0 11 12 2 0 0 0 0.0000
0 12 7 2 0 0 0 0.0000
1 1 24 2 17 1 0 5.8065
1 2 14 2 11 2 0 6.2498
1 3 12 1 6 1 1 1.6780
1 4 22 1 16 1 1 6.5600
1 5 13 2 2 2 0 5.4716
1 6 7 1 15 1 1 5.1114
1 7 5 2 19 1 1 2.6697
1 8 21 1 3 1 0 7.2425
1 9 20 1 23 1 0 1.6367
1 10 9 1 8 1 1 4.4247
1 11 1 2 4 2 0 1.3688
1 12 10 2 18 2 1 2.2460
