Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 2 0 0 0 0.0000
0 2 2 1 0 0 0 0.0000
0 3 23 1 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 12 2 0 0 0 0.0000
0 6 11 1 0 0 0 0.0000
0 7 13 1 0 0 0 0.0000
0 8 4 2 0 0 0 0.0000
0 9 21 2 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 10 1 0 0 0 0.0000
0 12 22 2 0 0 0 0.0000
1 1 21 1 18 1 1 5.7277
1 2 22 1 1 1 0 6.6472
1 3 4 1 7 2 1 3.6513
1 4 3 2 9 1 0 8.2089
1 5 2 2 24 2 0 2.5545
1 6 15 1 6 2 1 1.9622
1 7 11 2 16 1 1 2.4482
1 8 13 2 5 1 1 5.7967
1 9 12 1 14 1 1 5.5846
1 10 23 2 8 2 0 3.8695
1 11 10 2 17 1 1 2.8757
1 12 20 1 19 1 1 4.8288
