Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 1 1 0 0 0 0.0000
0 4 20 1 0 0 0 0.0000
0 5 7 1 0 0 0 0.0000
0 6 3 1 0 0 0 0.0000
0 7 24 1 0 0 0 0.0000
0 8 18 1 0 0 0 0.0000
0 9 9 2 0 0 0 0.0000
0 10 19 2 0 0 0 0.0000
0 11 11 1 0 0 0 0.0000
0 12 12 2 0 0 0 0.0000
1 1 24 2 15 2 0 3.8637
1 2 7 2 17 2 0 2.6218
1 3 23 1 14 1 1 2.3756
1 4 3 2 10 2 1 1.9182
1 5 11 2 5 2 0 3.6384
1 6 9 1 4 2 1 1.3903
1 7 1 2 2 1 0 3.7552
1 8 19 1 22 2 0 7.1476
1 9 20 2 21 1 1 1.7620
1 10 13 2 16 2 0 2.8635
1 11 18 2 6 2 1 5.8486
1 12 12 1 8 1 1 2.9084
