Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 18 1 0 0 0 0.0000
0 3 21 2 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 8 2 0 0 0 0.0000
0 6 23 1 0 0 0 0.0000
0 7 10 2 0 0 0 0.0000
0 8 17 1 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 6 2 0 0 0 0.0000
0 11 13 2 0 0 0 0.0000
0 12 7 1 0 0 0 0.0000
1 1 3 2 15 1 1 3.2696
1 2 8 1 9 2 0 2.7455
1 3 10 1 5 1 1 3.2018
1 4 11 2 20 1 1 2.1795
1 5 17 2 19 1 0 4.3826
1 6 21 1 1 2 1 2.0880
1 7 13 1 22 1 1 4.2414
1 8 18 2 16 2 1 3.2492
1 9 23 2 14 1 0 2.7750
1 10 2 1 12 2 1 2.3415
1 11 6 1 24 2 0 2.5984
1 12 7 2 4 1 0 1.8046
