Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 14 2 0 0 0 0.0000
0 2 24 1 0 0 0 0.0000
0 3 7 1 0 0 0 0.0000
0 4 5 1 0 0 0 0.0000
0 5 15 1 0 0 0 0.0000
0 6 1 2 0 0 0 0.0000
0 7 13 2 0 0 0 0.0000
0 8 21 2 0 0 0 0.0000
0 9 9 1 0 0 0 0.0000
0 10 23 1 0 0 0 0.0000
0 11 20 2 0 0 0 0.0000
0 12 19 2 0 0 0 0.0000
1 1 15 2 4 2 1 3.0127
1 2 7 2 3 2 0 5.7309
1 3 20 1 2 2 0 3.3834
1 4 19 1 18 1 1 3.6226
1 5 21 1 16 2 1 9.4379
1 6 5 2 11 2 1 4.1683
1 7 9 2 10 2 1 2.7642
1 8 24 2 6 2 1 5.4845
1 9 14 1 22 2 0 6.0928
1 10 13 1 12 1 1 4.8453
1 11 23 2 17 2 1 2.0867
1 12 1 1 8 1 1 1.6492
