Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 19 1 0 0 0 0.0000
0 2 15 1 0 0 0 0.0000
0 3 21 2 0 0 0 0.0000
0 4 7 1 0 0 0 0.0000
0 5 17 1 0 0 0 0.0000
0 6 4 2 0 0 0 0.0000
0 7 3 2 0 0 0 0.0000
0 8 2 1 0 0 0 0.0000
0 9 14 1 0 0 0 0.0000
0 10 5 2 0 0 0 0.0000
0 11 18 1 0 0 0 0.0000
0 12 1 1 0 0 0 0.0000
1 1 1 2 16 1 0 4.5461
1 2 4 1 23 2 1 4.1310
1 3 15 2 11 2 0 4.2097
1 4 18 2 13 2 0 3.5980
1 5 17 2 12 2 0 1.6768
1 6 3 1 10 1 1 1.8243
1 7 19 2 22 2 0 4.3051
1 8 2 2 8 2 1 1.5714
1 9 21 1 6 1 1 1.7883
1 10 14 2 24 2 0 2.3814
1 11 7 2 9 2 0 1.2321
1 12 5 1 20 2 1 1.4678
