Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 11 1 0 0 0 0.0000
0 2 6 2 0 0 0 0.0000
0 3 2 1 0 0 0 0.0000
0 4 12 1 0 0 0 0.0000
0 5 3 2 0 0 0 0.0000
0 6 18 2 0 0 0 0.0000
0 7 16 2 0 0 0 0.0000
0 8 20 2 0 0 0 0.0000
0 9 19 2 0 0 0 0.0000
0 10 14 1 0 0 0 0.0000
0 11 23 1 0 0 0 0.0000
0 12 5 2 0 0 0 0.0000
1 1 12 2 7 2 0 5.0897
1 2 6 1 24 2 0 3.0693
1 3 11 2 22 1 0 2.0176
1 4 19 1 21 1 0 2.5683
1 5 23 2 15 1 1 2.1503
1 6 3 1 10 1 1 2.5149
1 7 5 1 13 2 1 1.7784
1 8 18 1 4 1 0 3.7825
1 9 2 2 17 1 0 5.9707
1 10 16 1 9 2 0 3.2297
1 11 14 2 8 2 1 2.5424
1 12 20 1 1 1 1 5.4689
