Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 11 2 0 0 0 0.0000
0 2 1 1 0 0 0 0.0000
0 3 14 2 0 0 0 0.0000
0 4 20 1 0 0 0 0.0000
0 5 23 2 0 0 0 0.0000
0 6 8 1 0 0 0 0.0000
0 7 16 2 0 0 0 0.0000
0 8 21 1 0 0 0 0.0000
0 9 3 2 0 0 0 0.0000
0 10 10 1 0 0 0 0.0000
0 11 2 2 0 0 0 0.0000
0 12 15 1 0 0 0 0.0000
1 1 1 2 13 1 1 6.1465
1 2 20 2 12 2 1 2.1158
1 3 16 1 6 1 1 2.2207
1 4 23 1 24 1 1 1.5700
1 5 8 2 19 1 1 4.0729
1 6 14 1 7 2 1 2.6531
1 7 21 2 18 2 1 2.4100
1 8 15 2 5 2 1 4.1755
1 9 10 2 22 1 1 3.2392
1 10 2 1 9 1 1 2.2284
1 11 11 1 17 1 1 2.3779
1 12 3 1 4 1 1 2.4742
