Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 18 2 0 0 0 0.0000
0 2 10 2 0 0 0 0.0000
0 3 1 1 0 0 0 0.0000
0 4 6 2 0 0 0 0.0000
0 5 23 1 0 0 0 0.0000
0 6 22 2 0 0 0 0.0000
0 7 8 1 0 0 0 0.0000
0 8 11 1 0 0 0 0.0000
0 9 16 1 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 17 1 0 0 0 0.0000
0 12 5 1 0 0 0 0.0000
1 1 1 2 19 1 1 1.9851
1 2 6 1 3 2 1 1.8747
1 3 5 2 12 2 1 1.6226
1 4 16 2 2 2 1 1.4126
1 5 10 1 13 2 1 3.1534
1 6 20 1 7 1 1 1.3304
1 7 23 2 9 1 1 1.1788
1 8 17 2 4 2 1 2.1547
1 9 18 1 24 2 1 1.9457
1 10 8 2 14 1 1 1.1289
1 11 22 1 15 1 1 1.3223
1 12 11 2 21 1 1 0.9642
