Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 2 0 0 0 0.0000
0 2 14 2 0 0 0 0.0000
0 3 4 1 0 0 0 0.0000
0 4 15 2 0 0 0 0.0000
0 5 21 1 0 0 0 0.0000
0 6 9 1 0 0 0 0.0000
0 7 20 2 0 0 0 0.0000
0 8 12 2 0 0 0 0.0000
0 9 8 2 0 0 0 0.0000
0 10 24 1 0 0 0 0.0000
0 11 7 1 0 0 0 0.0000
0 12 3 1 0 0 0 0.0000
1 1 4 2 11 2 0 5.8834
1 2 12 1 1 2 1 2.2698
1 3 20 1 22 1 1 4.0784
1 4 9 2 2 2 1 4.6716
1 5 8 1 6 2 1 5.2991
1 6 21 2 16 1 0 4.2665
1 7 7 2 13 2 0 3.4199
1 8 3 2 18 1 1 1.8158
1 9 24 2 10 2 1 6.1172
1 10 5 1 17 1 0 2.5334
1 11 14 1 19 2 1 5.5155
1 12 15 1 23 2 1 3.7956
