Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 10 2 0 0 0 0.0000
0 3 5 1 0 0 0 0.0000
0 4 12 2 0 0 0 0.0000
0 5 20 2 0 0 0 0.0000
0 6 8 1 0 0 0 0.0000
0 7 13 2 0 0 0 0.0000
0 8 18 1 0 0 0 0.0000
0 9 22 2 0 0 0 0.0000
0 10 11 2 0 0 0 0.0000
0 11 23 1 0 0 0 0.0000
0 12 3 1 0 0 0 0.0000
1 1 5 2 1 2 1 5.8696
1 2 13 1 19 1 1 8.0947
1 3 3 2 14 1 1 12.5114
1 4 11 1 7 2 1 12.9753
1 5 20 1 24 1 1 10.3009
1 6 10 1 21 1 0 6.0023
1 7 15 2 16 1 0 4.3976
1 8 12 1 2 2 0 7.3945
1 9 22 1 17 1 0 8.6309
1 10 23 2 4 1 1 3.6678
1 11 8 2 9 2 0 9.7502
1 12 18 2 6 2 1 4.8997
