Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 9 2 0 0 0 0.0000
0 2 14 1 0 0 0 0.0000
0 3 23 2 0 0 0 0.0000
0 4 21 1 0 0 0 0.0000
0 5 19 2 0 0 0 0.0000
0 6 13 2 0 0 0 0.0000
0 7 12 1 0 0 0 0.0000
0 8 22 1 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 1 1 0 0 0 0.0000
0 11 7 1 0 0 0 0.0000
0 12 8 2 0 0 0 0.0000
1 1 22 2 3 2 1 7.5505
1 2 9 1 24 1 1 5.0392
1 3 8 1 17 1 0 9.0514
1 4 7 2 2 1 0 2.7257
1 5 19 1 20 2 1 9.8687
1 6 21 2 18 1 1 2.6125
1 7 1 2 4 1 1 1.8729
1 8 13 1 16 2 0 3.0596
1 9 14 2 6 2 1 3.0940
1 10 11 2 10 1 1 4.5209
1 11 12 2 15 2 0 14.2783
1 12 23 1 5 2 0 5.1683
