Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 2 0 0 0 0.0000
0 2 5 1 0 0 0 0.0000
0 3 7 2 0 0 0 0.0000
0 4 9 1 0 0 0 0.0000
0 5 22 2 0 0 0 0.0000
0 6 21 2 0 0 0 0.0000
0 7 15 2 0 0 0 0.0000
0 8 3 2 0 0 0 0.0000
0 9 2 2 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 18 2 0 0 0 0.0000
0 12 24 1 0 0 0 0.0000
1 1 13 1 17 2 1 5.9472
1 2 15 1 14 1 1 4.6885
1 3 22 1 12 2 1 2.5703
1 4 9 2 6 1 1 7.1043
1 5 2 1 16 1 1 3.2410
1 6 3 1 20 1 1 4.9874
1 7 7 1 10 1 1 4.4088
1 8 21 1 11 2 1 4.0785
1 9 24 2 1 2 0 9.4251
1 10 5 2 19 2 1 1.6221
1 11 18 1 8 1 1 3.6093
1 12 23 1 4 2 1 4.0695
