Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 6 1 0 0 0 0.0000
0 3 4 2 0 0 0 0.0000
0 4 18 2 0 0 0 0.0000
0 5 5 1 0 0 0 0.0000
0 6 17 1 0 0 0 0.0000
0 7 23 2 0 0 0 0.0000
0 8 14 2 0 0 0 0.0000
0 9 19 2 0 0 0 0.0000
0 10 21 1 0 0 0 0.0000
0 11 13 1 0 0 0 0.0000
0 12 22 1 0 0 0 0.0000
1 1 5 2 11 1 0 5.7469
1 2 19 1 7 2 0 6.8992
1 3 2 1 15 1 1 2.5460
1 4 18 1 8 1 1 2.5763
1 5 13 2 20 1 1 3.5970
1 6 22 2 16 2 0 5.3941
1 7 4 1 24 2 1 5.4720
1 8 23 1 10 1 1 5.8263
1 9 17 2 9 1 1 2.4545
1 10 14 1 12 1 0 5.4554
1 11 6 2 1 2 0 5.3560
1 12 21 2 3 1 1 2.4644
