Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 16 1 0 0 0 0.0000
0 2 17 1 0 0 0 0.0000
0 3 5 2 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 14 1 0 0 0 0.0000
0 6 4 2 0 0 0 0.0000
0 7 9 2 0 0 0 0.0000
0 8 19 2 0 0 0 0.0000
0 9 6 1 0 0 0 0.0000
0 10 11 2 0 0 0 0.0000
0 11 7 2 0 0 0 0.0000
0 12 13 1 0 0 0 0.0000
1 1 17 2 10 2 1 3.0634
1 2 13 2 8 2 1 2.8998
1 3 9 1 2 1 1 1.9911
1 4 14 2 20 2 1 1.5906
1 5 6 2 12 1 1 7.3881
1 6 19 1 18 2 1 3.9068
1 7 3 2 24 2 1 4.6615
1 8 11 1 1 2 1 2.6169
1 9 7 1 22 2 1 1.8064
1 10 5 1 21 2 1 5.6941
1 11 16 2 15 1 1 4.3603
1 12 4 1 23 1 1 4.6804
