Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 24 2 0 0 0 0.0000
0 2 3 2 0 0 0 0.0000
0 3 20 2 0 0 0 0.0000
0 4 5 1 0 0 0 0.0000
0 5 9 2 0 0 0 0.0000
0 6 7 1 0 0 0 0.0000
0 7 21 1 0 0 0 0.0000
0 8 11 1 0 0 0 0.0000
0 9 6 1 0 0 0 0.0000
0 10 12 1 0 0 0 0.0000
0 11 8 1 0 0 0 0.0000
0 12 23 2 0 0 0 0.0000
1 1 12 2 18 2 1 3.4351
1 2 9 1 10 2 1 4.9118
1 3 5 2 2 2 1 4.1619
1 4 3 1 4 2 1 7.4658
1 5 21 2 16 2 1 2.8149
1 6 23 1 17 1 1 2.0355
1 7 11 2 13 2 1 2.6322
1 8 8 2 1 2 1 4.3474
1 9 24 1 14 1 0 2.2195
1 10 6 2 22 2 1 3.4724
1 11 7 2 15 1 1 2.8682
1 12 20 1 19 2 0 3.2191
