Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 1 2 0 0 0 0.0000
0 2 13 2 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 19 2 0 0 0 0.0000
0 5 7 1 0 0 0 0.0000
0 6 22 2 0 0 0 0.0000
0 7 10 1 0 0 0 0.0000
0 8 14 2 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 4 2 0 0 0 0.0000
0 11 6 2 0 0 0 0.0000
0 12 15 2 0 0 0 0.0000
1 1 6 1 18 1 1 4.2631
1 2 11 2 3 2 1 7.7965
1 3 14 1 12 1 1 6.6220
1 4 15 1 8 1 1 5.5789
1 5 19 1 21 1 1 6.4734
1 6 1 1 23 1 1 9.2542
1 7 10 2 5 1 1 1.4904
1 8 4 1 20 1 1 4.2676
1 9 13 1 2 2 0 5.4965
1 10 9 1 16 1 0 4.6920
1 11 7 2 24 2 1 9.6383
1 12 22 1 17 1 1 2.0521
