Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 9 2 0 0 0 0.0000
0 2 6 1 0 0 0 0.0000
0 3 16 1 0 0 0 0.0000
0 4 13 1 0 0 0 0.0000
0 5 2 1 0 0 0 0.0000
0 6 22 1 0 0 0 0.0000
0 7 18 1 0 0 0 0.0000
0 8 1 1 0 0 0 0.0000
0 9 4 2 0 0 0 0.0000
0 10 15 1 0 0 0 0.0000
0 11 21 1 0 0 0 0.0000
0 12 20 1 0 0 0 0.0000
1 1 13 2 3 2 1 9.6667
1 2 18 2 7 2 1 6.4415
1 3 20 2 12 2 0 8.9198
1 4 9 1 8 2 1 10.6521
1 5 6 2 17 1 0 8.0827
1 6 16 2 11 1 1 3.7924
1 7 22 2 10 1 0 9.7376
1 8 2 2 14 1 1 5.2856
1 9 1 2 5 1 1 6.2741
1 10 21 2 23 1 0 4.7359
1 11 4 1 19 1 0 5.7802
1 12 15 2 24 1 1 7.6852
