Session	Trial	TargetID	ImageVersion	DistractorID	Response	Correct	ResposeTime
0	1	1	2	0	0	0	0
0	2	19	2	0	0	0	0
0	3	6	2	0	0	0	0
0	4	23	2	0	0	0	0
0	5	7	2	0	0	0	0
0	6	21	2	0	0	0	0
0	7	24	2	0	0	0	0
0	8	17	2	0	0	0	0
0	9	3	2	0	0	0	0
0	10	4	2	0	0	0	0
0	11	9	1	0	0	0	0
0	12	8	2	0	0	0	0
1	1	3	1	2	1	1	8.113
1	2	4	1	22	2	0	2.5875
1	3	19	1	13	1	1	2.9349
1	4	8	1	14	1	1	3.9363
1	5	24	1	18	1	1	5.8487
1	6	7	1	20	1	1	6.556
1	7	23	1	10	2	1	4.3324
1	8	21	1	16	2	1	6.4222
1	9	1	1	12	2	1	5.6768
1	10	17	1	11	2	0	7.4649
1	11	9	2	5	1	1	5.3316
1	12	6	1	15	2	1	6.8748
