Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 22 1 0 0 0 0.0000
0 2 18 1 0 0 0 0.0000
0 3 15 2 0 0 0 0.0000
0 4 14 1 0 0 0 0.0000
0 5 24 2 0 0 0 0.0000
0 6 10 2 0 0 0 0.0000
0 7 5 2 0 0 0 0.0000
0 8 1 1 0 0 0 0.0000
0 9 20 2 0 0 0 0.0000
0 10 3 1 0 0 0 0.0000
0 11 7 2 0 0 0 0.0000
0 12 2 1 0 0 0 0.0000
1 1 10 1 11 2 1 2.4188
1 2 5 1 4 1 1 6.8870
1 3 22 2 16 1 0 3.1932
1 4 15 1 13 2 1 7.0218
1 5 2 2 6 1 1 5.3206
1 6 24 1 17 2 1 5.7627
1 7 20 1 23 1 0 3.0884
1 8 18 2 8 2 1 4.6007
1 9 3 2 9 1 1 3.5989
1 10 14 2 21 2 1 9.0670
1 11 7 1 12 2 0 5.8608
1 12 1 2 19 1 1 2.5197
