Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 2 0 0 0 0.0000
0 2 20 2 0 0 0 0.0000
0 3 2 1 0 0 0 0.0000
0 4 5 2 0 0 0 0.0000
0 5 4 1 0 0 0 0.0000
0 6 16 1 0 0 0 0.0000
0 7 7 2 0 0 0 0.0000
0 8 15 1 0 0 0 0.0000
0 9 11 2 0 0 0 0.0000
0 10 8 2 0 0 0 0.0000
0 11 22 1 0 0 0 0.0000
0 12 19 1 0 0 0 0.0000
1 1 8 1 18 2 1 4.0120
1 2 5 1 1 2 1 2.1131
1 3 2 2 21 2 1 2.5275
1 4 22 2 24 1 1 2.4313
1 5 16 2 9 1 1 1.6355
1 6 13 1 23 2 1 2.6449
1 7 20 1 12 2 0 6.0087
1 8 7 1 3 1 1 1.4504
1 9 19 2 14 2 1 2.0094
1 10 11 1 10 1 0 5.8190
1 11 4 2 6 1 1 2.2045
1 12 15 2 17 2 1 5.4322
