Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 18 2 0 0 0 0.0000
0 2 19 2 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 8 1 0 0 0 0.0000
0 6 24 1 0 0 0 0.0000
0 7 22 1 0 0 0 0.0000
0 8 15 1 0 0 0 0.0000
0 9 23 2 0 0 0 0.0000
0 10 17 1 0 0 0 0.0000
0 11 5 2 0 0 0 0.0000
0 12 14 1 0 0 0 0.0000
1 1 4 1 16 1 1 15.7865
1 2 14 2 20 1 1 1.5301
1 3 5 1 1 2 1 3.1389
1 4 9 1 13 1 0 2.6422
1 5 23 1 12 2 0 4.9691
1 6 24 2 10 1 1 1.8887
1 7 15 2 11 2 1 1.3646
1 8 18 1 3 1 1 1.5387
1 9 17 2 2 1 1 3.1286
1 10 8 2 21 1 1 2.3694
1 11 19 1 6 2 1 1.8587
1 12 22 2 7 1 0 1.9708
