Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 23 1 0 0 0 0.0000
0 2 10 2 0 0 0 0.0000
0 3 5 1 0 0 0 0.0000
0 4 14 2 0 0 0 0.0000
0 5 8 1 0 0 0 0.0000
0 6 24 1 0 0 0 0.0000
0 7 12 2 0 0 0 0.0000
0 8 17 1 0 0 0 0.0000
0 9 3 1 0 0 0 0.0000
0 10 22 2 0 0 0 0.0000
0 11 13 2 0 0 0 0.0000
0 12 21 2 0 0 0 0.0000
1 1 14 1 1 1 1 2.2603
1 2 10 1 9 2 1 3.8999
1 3 22 1 20 1 1 1.3335
1 4 24 2 16 1 1 1.1215
1 5 8 2 19 2 1 1.4062
1 6 21 1 18 1 0 2.3356
1 7 13 1 4 2 1 1.3096
1 8 3 2 7 1 1 3.4918
1 9 12 1 15 2 1 1.9240
1 10 17 2 6 1 1 3.6970
1 11 23 2 11 1 1 1.4831
1 12 5 2 2 2 1 1.6571
