Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 11 1 0 0 0 0.0000
0 2 7 1 0 0 0 0.0000
0 3 2 1 0 0 0 0.0000
0 4 4 1 0 0 0 0.0000
0 5 8 2 0 0 0 0.0000
0 6 16 1 0 0 0 0.0000
0 7 1 2 0 0 0 0.0000
0 8 10 1 0 0 0 0.0000
0 9 21 1 0 0 0 0.0000
0 10 6 1 0 0 0 0.0000
0 11 20 2 0 0 0 0.0000
0 12 18 1 0 0 0 0.0000
1 1 7 2 5 2 1 8.8074
1 2 18 2 14 1 0 13.5454
1 3 10 2 22 2 1 3.0956
1 4 2 2 3 2 0 8.2255
1 5 8 1 13 2 1 3.4666
1 6 11 2 24 1 0 7.6565
1 7 6 2 23 2 1 9.0960
1 8 16 2 15 1 1 6.9508
1 9 1 1 9 1 1 3.3211
1 10 21 2 17 2 1 15.4040
1 11 4 2 19 1 1 5.0740
1 12 20 1 12 2 0 4.9437
