Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 7 1 0 0 0 0.0000
0 2 12 1 0 0 0 0.0000
0 3 8 2 0 0 0 0.0000
0 4 24 1 0 0 0 0.0000
0 5 5 1 0 0 0 0.0000
0 6 19 2 0 0 0 0.0000
0 7 17 2 0 0 0 0.0000
0 8 15 2 0 0 0 0.0000
0 9 10 2 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 1 2 0 0 0 0.0000
0 12 16 1 0 0 0 0.0000
1 1 24 2 11 2 1 4.3660
1 2 19 1 22 1 0 5.3137
1 3 23 1 6 2 1 3.9046
1 4 15 1 13 1 1 6.4828
1 5 12 2 18 2 1 5.7571
1 6 10 1 3 1 1 4.8341
1 7 16 2 20 1 1 6.1076
1 8 8 1 9 2 1 1.4372
1 9 17 1 2 1 0 6.8972
1 10 1 1 4 2 0 5.3492
1 11 5 2 14 1 0 5.7709
1 12 7 2 21 1 1 5.2713
