Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 19 2 0 0 0 0.0000
0 2 1 1 0 0 0 0.0000
0 3 4 1 0 0 0 0.0000
0 4 11 2 0 0 0 0.0000
0 5 20 1 0 0 0 0.0000
0 6 17 1 0 0 0 0.0000
0 7 13 2 0 0 0 0.0000
0 8 12 1 0 0 0 0.0000
0 9 22 1 0 0 0 0.0000
0 10 10 2 0 0 0 0.0000
0 11 21 2 0 0 0 0.0000
0 12 23 2 0 0 0 0.0000
1 1 19 1 6 2 1 3.2748
1 2 20 2 7 1 1 5.2628
1 3 17 2 3 1 1 4.2343
1 4 23 1 18 2 1 6.1588
1 5 21 1 15 1 1 4.2642
1 6 11 1 24 1 0 3.5248
1 7 13 1 2 2 0 7.1521
1 8 22 2 14 1 1 3.6574
1 9 4 2 9 2 1 2.7025
1 10 12 2 8 2 1 3.2338
1 11 10 1 5 1 0 1.7532
1 12 1 2 16 1 0 5.1117
