Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 6 1 0 0 0 0.0000
0 2 19 1 0 0 0 0.0000
0 3 10 2 0 0 0 0.0000
0 4 8 1 0 0 0 0.0000
0 5 15 2 0 0 0 0.0000
0 6 4 2 0 0 0 0.0000
0 7 24 1 0 0 0 0.0000
0 8 23 2 0 0 0 0.0000
0 9 1 2 0 0 0 0.0000
0 10 2 2 0 0 0 0.0000
0 11 18 2 0 0 0 0.0000
0 12 21 1 0 0 0 0.0000
1 1 24 2 11 2 1 5.1375
1 2 10 1 17 2 1 7.5961
1 3 2 1 16 2 1 1.7438
1 4 23 1 20 1 1 7.8037
1 5 19 2 14 2 1 1.9129
1 6 4 1 12 1 0 2.6931
1 7 1 1 13 2 0 3.8288
1 8 21 2 5 1 1 2.3290
1 9 8 2 7 2 1 9.7980
1 10 15 1 9 1 1 8.7276
1 11 18 1 3 2 1 2.4895
1 12 6 2 22 1 0 10.4498
