Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 3 2 0 0 0 0.0000
0 2 24 2 0 0 0 0.0000
0 3 14 1 0 0 0 0.0000
0 4 17 2 0 0 0 0.0000
0 5 20 1 0 0 0 0.0000
0 6 5 2 0 0 0 0.0000
0 7 9 2 0 0 0 0.0000
0 8 4 1 0 0 0 0.0000
0 9 22 2 0 0 0 0.0000
0 10 6 1 0 0 0 0.0000
0 11 7 1 0 0 0 0.0000
0 12 16 1 0 0 0 0.0000
1 1 24 1 8 1 1 5.6359
1 2 6 2 10 2 0 2.6032
1 3 20 2 1 1 1 6.9064
1 4 4 2 21 1 1 1.9791
1 5 16 2 19 2 1 1.6442
1 6 17 1 18 2 1 4.8403
1 7 9 1 2 1 1 1.9551
1 8 7 2 23 1 1 5.7002
1 9 3 1 11 2 1 1.8293
1 10 14 2 13 1 0 2.1823
1 11 22 1 15 1 0 2.2598
1 12 5 1 12 2 1 2.0575
