Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 19 2 0 0 0 0.0000
0 3 8 1 0 0 0 0.0000
0 4 7 2 0 0 0 0.0000
0 5 6 1 0 0 0 0.0000
0 6 23 1 0 0 0 0.0000
0 7 10 2 0 0 0 0.0000
0 8 3 2 0 0 0 0.0000
0 9 14 2 0 0 0 0.0000
0 10 13 1 0 0 0 0.0000
0 11 16 2 0 0 0 0.0000
0 12 12 1 0 0 0 0.0000
1 1 10 1 20 1 1 1.3557
1 2 3 1 11 1 1 2.4172
1 3 6 2 15 1 1 4.3085
1 4 23 2 24 2 1 4.2273
1 5 19 1 5 2 1 4.5230
1 6 16 1 21 1 1 7.5466
1 7 7 1 22 2 1 6.8510
1 8 12 2 18 2 1 3.5985
1 9 2 1 1 1 1 7.0082
1 10 8 2 17 2 1 4.8701
1 11 14 1 4 2 0 8.3649
1 12 13 2 9 1 1 9.7047
