Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 18 1 0 0 0 0.0000
0 2 22 1 0 0 0 0.0000
0 3 5 2 0 0 0 0.0000
0 4 2 1 0 0 0 0.0000
0 5 20 1 0 0 0 0.0000
0 6 14 1 0 0 0 0.0000
0 7 24 2 0 0 0 0.0000
0 8 15 2 0 0 0 0.0000
0 9 8 1 0 0 0 0.0000
0 10 7 1 0 0 0 0.0000
0 11 21 2 0 0 0 0.0000
0 12 11 1 0 0 0 0.0000
1 1 22 2 23 1 0 5.0384
1 2 20 2 4 1 1 5.2623
1 3 7 2 6 2 1 7.6067
1 4 24 1 10 2 0 3.3736
1 5 11 2 9 1 0 2.7840
1 6 2 2 16 2 0 5.1684
1 7 8 2 19 1 1 4.1416
1 8 21 1 3 2 1 3.6733
1 9 15 1 1 1 1 4.3723
1 10 18 2 17 1 0 6.2573
1 11 14 2 12 2 1 4.9878
1 12 5 1 13 1 0 4.4787
