Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 11 1 0 0 0 0.0000
0 2 19 1 0 0 0 0.0000
0 3 3 1 0 0 0 0.0000
0 4 1 2 0 0 0 0.0000
0 5 12 1 0 0 0 0.0000
0 6 8 1 0 0 0 0.0000
0 7 16 1 0 0 0 0.0000
0 8 2 1 0 0 0 0.0000
0 9 10 1 0 0 0 0.0000
0 10 17 2 0 0 0 0.0000
0 11 9 2 0 0 0 0.0000
0 12 7 1 0 0 0 0.0000
1 1 1 1 18 1 1 5.8003
1 2 8 2 23 1 1 8.8536
1 3 3 2 13 1 0 5.0552
1 4 16 2 22 1 0 3.2329
1 5 2 2 20 1 1 2.8288
1 6 12 2 5 2 1 4.5372
1 7 9 1 21 2 1 3.7246
1 8 7 2 24 2 1 2.9356
1 9 11 2 14 1 0 2.5208
1 10 17 1 6 2 1 5.0836
1 11 19 2 4 2 0 2.8508
1 12 10 2 15 1 1 6.3107
