Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 6 1 0 0 0 0.0000
0 2 23 1 0 0 0 0.0000
0 3 7 1 0 0 0 0.0000
0 4 2 1 0 0 0 0.0000
0 5 10 1 0 0 0 0.0000
0 6 21 1 0 0 0 0.0000
0 7 1 2 0 0 0 0.0000
0 8 18 2 0 0 0 0.0000
0 9 8 1 0 0 0 0.0000
0 10 19 2 0 0 0 0.0000
0 11 4 1 0 0 0 0.0000
0 12 17 1 0 0 0 0.0000
1 1 10 2 12 2 1 5.8215
1 2 17 2 11 1 0 2.8539
1 3 21 2 9 2 1 1.4723
1 4 7 2 13 2 1 1.3833
1 5 23 2 5 1 1 1.6730
1 6 2 2 15 1 1 1.9533
1 7 6 2 3 1 1 7.3017
1 8 19 1 24 1 1 1.4634
1 9 8 2 14 1 1 1.3812
1 10 1 1 20 2 1 2.2232
1 11 18 1 16 1 1 1.5777
1 12 4 2 22 1 1 4.3331
