Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 22 1 0 0 0 0.0000
0 3 24 2 0 0 0 0.0000
0 4 9 2 0 0 0 0.0000
0 5 17 1 0 0 0 0.0000
0 6 7 2 0 0 0 0.0000
0 7 12 2 0 0 0 0.0000
0 8 15 1 0 0 0 0.0000
0 9 18 1 0 0 0 0.0000
0 10 16 1 0 0 0 0.0000
0 11 11 2 0 0 0 0.0000
0 12 4 2 0 0 0 0.0000
1 1 13 2 1 1 0 7.0695
1 2 18 2 3 1 0 5.8072
1 3 11 1 6 1 0 10.2866
1 4 15 2 21 2 0 2.5983
1 5 22 2 5 2 1 2.6042
1 6 12 1 20 1 0 2.5519
1 7 17 2 14 2 1 2.3975
1 8 16 2 19 1 1 2.9139
1 9 9 1 8 2 1 2.6002
1 10 24 1 2 1 1 1.9556
1 11 4 1 23 2 1 3.6866
1 12 7 1 10 1 1 2.6339
