Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 10 2 0 0 0 0.0000
0 2 3 2 0 0 0 0.0000
0 3 8 2 0 0 0 0.0000
0 4 12 1 0 0 0 0.0000
0 5 19 2 0 0 0 0.0000
0 6 7 2 0 0 0 0.0000
0 7 24 1 0 0 0 0.0000
0 8 6 2 0 0 0 0.0000
0 9 21 1 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 14 1 0 0 0 0.0000
0 12 4 2 0 0 0 0.0000
1 1 23 1 22 2 1 2.7505
1 2 4 1 20 1 1 3.9982
1 3 21 2 1 2 1 2.5733
1 4 10 1 15 1 1 2.4906
1 5 8 1 13 2 1 4.7710
1 6 14 2 11 1 1 2.1253
1 7 19 1 9 1 1 2.3404
1 8 6 1 18 1 1 1.7936
1 9 12 2 16 1 1 1.8204
1 10 24 2 5 2 1 1.4627
1 11 7 1 17 1 1 1.5114
1 12 3 1 2 1 1 1.6293
