Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 10 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 12 1 0 0 0 0.0000
0 4 13 1 0 0 0 0.0000
0 5 15 2 0 0 0 0.0000
0 6 21 2 0 0 0 0.0000
0 7 3 1 0 0 0 0.0000
0 8 22 2 0 0 0 0.0000
0 9 20 2 0 0 0 0.0000
0 10 17 2 0 0 0 0.0000
0 11 11 2 0 0 0 0.0000
0 12 7 2 0 0 0 0.0000
1 1 10 2 19 1 1 1.5981
1 2 23 1 24 2 0 3.0830
1 3 7 1 4 2 1 2.8794
1 4 15 1 18 1 1 2.2507
1 5 11 1 9 2 0 1.3915
1 6 12 2 1 1 1 1.4525
1 7 17 1 8 1 1 2.5101
1 8 13 2 14 1 1 2.6160
1 9 22 1 5 2 1 1.2698
1 10 3 2 6 2 1 1.3348
1 11 20 1 2 1 1 2.8305
1 12 21 1 16 2 1 3.8358
