Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 7 2 0 0 0 0.0000
0 2 19 2 0 0 0 0.0000
0 3 1 2 0 0 0 0.0000
0 4 5 1 0 0 0 0.0000
0 5 13 2 0 0 0 0.0000
0 6 14 2 0 0 0 0.0000
0 7 10 2 0 0 0 0.0000
0 8 18 1 0 0 0 0.0000
0 9 23 2 0 0 0 0.0000
0 10 2 2 0 0 0 0.0000
0 11 22 1 0 0 0 0.0000
0 12 11 1 0 0 0 0.0000
1 1 19 1 6 2 1 2.4858
1 2 18 2 21 1 1 1.8980
1 3 23 1 4 1 0 3.5795
1 4 7 1 9 1 1 3.7965
1 5 14 1 24 1 1 6.0298
1 6 2 1 17 2 1 3.1532
1 7 22 2 15 2 1 1.7942
1 8 5 2 8 1 0 4.7054
1 9 13 1 20 2 0 5.0875
1 10 1 1 3 1 0 3.3994
1 11 10 1 16 2 1 1.7827
1 12 11 2 12 1 1 3.3013
