Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 1 0 0 0 0.0000
0 2 17 1 0 0 0 0.0000
0 3 4 2 0 0 0 0.0000
0 4 18 2 0 0 0 0.0000
0 5 7 1 0 0 0 0.0000
0 6 24 2 0 0 0 0.0000
0 7 15 1 0 0 0 0.0000
0 8 9 2 0 0 0 0.0000
0 9 22 2 0 0 0 0.0000
0 10 13 1 0 0 0 0.0000
0 11 21 1 0 0 0 0.0000
0 12 10 2 0 0 0 0.0000
1 1 4 1 6 1 1 3.0833
1 2 24 1 16 1 1 2.7646
1 3 9 1 12 2 0 6.6265
1 4 5 2 1 1 0 4.7806
1 5 15 2 2 1 1 1.7574
1 6 10 1 11 2 1 3.7378
1 7 17 2 20 1 1 4.4367
1 8 22 1 3 2 1 2.2593
1 9 18 1 23 1 1 3.2694
1 10 21 2 19 1 1 2.2816
1 11 13 2 8 2 1 4.1381
1 12 7 2 14 2 1 2.4855
