Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 23 1 0 0 0 0.0000
0 2 20 2 0 0 0 0.0000
0 3 18 2 0 0 0 0.0000
0 4 12 2 0 0 0 0.0000
0 5 22 1 0 0 0 0.0000
0 6 10 1 0 0 0 0.0000
0 7 3 1 0 0 0 0.0000
0 8 8 2 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 24 1 0 0 0 0.0000
0 11 9 2 0 0 0 0.0000
0 12 14 2 0 0 0 0.0000
1 1 14 1 4 1 0 12.8368
1 2 22 2 7 2 1 2.1738
1 3 3 2 13 2 1 1.9837
1 4 9 1 19 2 1 1.8685
1 5 24 2 16 1 1 10.2953
1 6 8 1 5 1 1 8.0064
1 7 20 1 17 2 0 4.0994
1 8 11 2 1 2 0 11.9605
1 9 10 2 15 2 1 8.6617
1 10 23 2 6 2 1 3.3543
1 11 12 1 21 1 1 6.0959
1 12 18 1 2 2 1 2.3990
