Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 1 1 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 19 1 0 0 0 0.0000
0 5 16 1 0 0 0 0.0000
0 6 18 2 0 0 0 0.0000
0 7 11 2 0 0 0 0.0000
0 8 24 1 0 0 0 0.0000
0 9 14 2 0 0 0 0.0000
0 10 5 1 0 0 0 0.0000
0 11 8 2 0 0 0 0.0000
0 12 20 1 0 0 0 0.0000
1 1 24 2 17 2 1 2.5111
1 2 15 2 3 2 1 3.4172
1 3 8 1 23 2 1 2.4878
1 4 9 1 21 1 0 3.2669
1 5 1 2 10 1 1 4.2303
1 6 5 2 2 2 1 1.9562
1 7 19 2 4 2 1 1.4438
1 8 20 2 6 1 1 2.0116
1 9 18 1 7 2 1 2.7752
1 10 14 1 13 1 0 2.4932
1 11 16 2 22 2 1 2.9031
1 12 11 1 12 2 0 3.5047
