Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 6 2 0 0 0 0.0000
0 2 12 1 0 0 0 0.0000
0 3 24 2 0 0 0 0.0000
0 4 14 2 0 0 0 0.0000
0 5 20 1 0 0 0 0.0000
0 6 2 1 0 0 0 0.0000
0 7 23 1 0 0 0 0.0000
0 8 3 2 0 0 0 0.0000
0 9 18 1 0 0 0 0.0000
0 10 5 2 0 0 0 0.0000
0 11 11 2 0 0 0 0.0000
0 12 19 2 0 0 0 0.0000
1 1 6 1 7 1 1 3.3056
1 2 23 2 15 1 1 2.2046
1 3 2 2 16 1 1 2.6504
1 4 18 2 10 1 1 1.8714
1 5 19 1 1 1 1 1.8977
1 6 20 2 13 1 1 2.8990
1 7 14 1 8 2 1 1.7822
1 8 5 1 22 1 1 1.5557
1 9 12 2 4 2 1 2.3930
1 10 3 1 9 2 1 2.1664
1 11 11 1 17 2 1 2.5742
1 12 24 1 21 2 1 2.7074
