Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 18 1 0 0 0 0.0000
0 2 22 1 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 24 1 0 0 0 0.0000
0 5 6 1 0 0 0 0.0000
0 6 2 1 0 0 0 0.0000
0 7 14 2 0 0 0 0.0000
0 8 7 2 0 0 0 0.0000
0 9 8 2 0 0 0 0.0000
0 10 5 1 0 0 0 0.0000
0 11 13 1 0 0 0 0.0000
0 12 11 2 0 0 0 0.0000
1 1 2 2 16 2 1 2.0482
1 2 7 1 4 1 1 1.2098
1 3 11 1 1 2 1 2.0013
1 4 6 2 3 1 0 3.3664
1 5 24 2 15 1 1 3.1493
1 6 22 2 23 1 1 1.7159
1 7 9 1 19 2 1 2.2720
1 8 5 2 17 2 1 1.3775
1 9 8 1 10 1 1 1.4601
1 10 13 2 12 1 1 2.1228
1 11 18 2 20 2 1 1.4975
1 12 14 1 21 1 1 1.7810
