Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 1 0 0 0 0.0000
0 2 24 2 0 0 0 0.0000
0 3 22 1 0 0 0 0.0000
0 4 12 1 0 0 0 0.0000
0 5 8 2 0 0 0 0.0000
0 6 16 2 0 0 0 0.0000
0 7 6 1 0 0 0 0.0000
0 8 1 1 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 17 1 0 0 0 0.0000
0 12 15 1 0 0 0 0.0000
1 1 22 2 19 2 1 8.2817
1 2 24 1 23 1 1 6.9671
1 3 15 2 18 1 1 10.8057
1 4 12 2 13 1 0 8.6312
1 5 6 2 21 1 0 9.8243
1 6 17 2 4 2 1 8.5513
1 7 1 2 7 2 0 14.7143
1 8 20 1 14 1 1 26.9848
1 9 2 2 10 2 1 6.3989
1 10 11 2 3 1 0 13.6846
1 11 8 1 5 2 1 9.6838
1 12 16 1 9 2 0 8.7321
