Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 2 0 0 0 0.0000
0 2 6 2 0 0 0 0.0000
0 3 20 1 0 0 0 0.0000
0 4 16 2 0 0 0 0.0000
0 5 1 2 0 0 0 0.0000
0 6 8 1 0 0 0 0.0000
0 7 14 1 0 0 0 0.0000
0 8 18 2 0 0 0 0.0000
0 9 19 2 0 0 0 0.0000
0 10 7 2 0 0 0 0.0000
0 11 22 2 0 0 0 0.0000
0 12 23 1 0 0 0 0.0000
1 1 18 1 15 1 1 1.6418
1 2 6 1 3 2 0 3.8444
1 3 8 2 12 1 1 2.5949
1 4 5 1 2 2 1 4.3619
1 5 22 1 21 1 1 2.5972
1 6 23 2 17 2 1 2.6280
1 7 19 1 10 1 1 2.0734
1 8 7 1 24 2 1 2.2210
1 9 14 2 11 1 1 2.2034
1 10 16 1 9 2 1 2.3209
1 11 1 1 4 2 1 2.2101
1 12 20 2 13 2 1 3.6477
