Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 16 1 0 0 0 0.0000
0 2 15 1 0 0 0 0.0000
0 3 22 1 0 0 0 0.0000
0 4 9 1 0 0 0 0.0000
0 5 5 1 0 0 0 0.0000
0 6 7 2 0 0 0 0.0000
0 7 18 1 0 0 0 0.0000
0 8 6 1 0 0 0 0.0000
0 9 8 2 0 0 0 0.0000
0 10 1 2 0 0 0 0.0000
0 11 17 1 0 0 0 0.0000
0 12 4 1 0 0 0 0.0000
1 1 5 2 24 1 0 5.3024
1 2 7 1 19 2 1 1.4856
1 3 9 2 10 2 1 2.5191
1 4 17 2 14 1 1 1.7372
1 5 16 2 12 1 0 3.9446
1 6 4 2 20 1 1 4.5400
1 7 22 2 11 2 1 1.5131
1 8 6 2 2 1 1 2.5516
1 9 1 1 21 1 1 3.9761
1 10 18 2 23 1 1 2.8099
1 11 8 1 3 2 1 1.5452
1 12 15 2 13 1 0 3.4885
