Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 19 1 0 0 0 0.0000
0 2 13 1 0 0 0 0.0000
0 3 12 2 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 5 1 0 0 0 0.0000
0 6 4 1 0 0 0 0.0000
0 7 22 1 0 0 0 0.0000
0 8 6 1 0 0 0 0.0000
0 9 17 1 0 0 0 0.0000
0 10 16 1 0 0 0 0.0000
0 11 20 2 0 0 0 0.0000
0 12 10 1 0 0 0 0.0000
1 1 4 2 9 1 1 1.6431
1 2 22 2 14 1 1 2.5083
1 3 13 2 11 2 1 3.8066
1 4 3 2 21 1 0 2.4884
1 5 16 2 2 2 1 2.1156
1 6 10 2 8 1 1 6.2127
1 7 17 2 7 2 1 1.7939
1 8 12 1 24 2 1 2.0158
1 9 6 2 23 1 0 1.5078
1 10 5 2 18 1 0 3.2127
1 11 19 2 15 1 1 1.7943
1 12 20 1 1 2 0 9.6402
