Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 6 1 0 0 0 0.0000
0 2 24 2 0 0 0 0.0000
0 3 7 2 0 0 0 0.0000
0 4 17 1 0 0 0 0.0000
0 5 15 2 0 0 0 0.0000
0 6 20 2 0 0 0 0.0000
0 7 5 1 0 0 0 0.0000
0 8 14 1 0 0 0 0.0000
0 9 1 1 0 0 0 0.0000
0 10 18 2 0 0 0 0.0000
0 11 8 1 0 0 0 0.0000
0 12 23 2 0 0 0 0.0000
1 1 20 1 22 2 1 8.0591
1 2 7 1 10 1 1 1.3372
1 3 1 2 16 1 0 2.5119
1 4 5 2 21 1 1 6.4484
1 5 14 2 2 2 0 2.1717
1 6 18 1 4 2 1 1.6893
1 7 17 2 19 2 0 7.7535
1 8 6 2 13 2 0 1.5713
1 9 15 1 3 2 1 2.5046
1 10 8 2 9 1 0 4.5150
1 11 24 1 12 1 0 4.0333
1 12 23 1 11 2 1 1.2412
